transaction_id,client_id,amount,source_currency,target_currency,created_at,refunded_at,original_fee,original_final_amount
T0049,C009,451.97,USD,EUR,2024-01-05 18:59:30,,7.29,409.29
T0050,C008,303.02,USD,GBP,2024-01-06 09:24:55,,5.40,234.59
T0051,C006,2105.63,EUR,CHF,2024-01-06 09:39:55,,44.25,1922.41
T0052,C011,2307.04,EUR,USD,2024-01-06 12:03:08,,56.32,2446.82
T0053,C015,7227.29,USD,EUR,2024-01-06 13:22:13,,116.57,6544.82
T0054,C010,1282.11,EUR,CHF,2024-01-06 13:59:45,,26.94,1170.55
T0055,C010,1480.91,GBP,CHF,2024-01-06 15:00:46,,36.24,1574.25
T0056,C015,644.12,GBP,CHF,2024-01-06 15:22:28,,12.26,688.22
T0057,C014,2792.49,USD,CHF,2024-01-06 15:28:16,,54.10,2350.23
T0058,C005,27.04,GBP,CHF,2024-01-06 16:41:17,,0.66,28.75
T0059,C006,1870.09,EUR,CHF,2024-01-06 18:39:46,,39.30,1707.36
T0060,C007,2942.66,USD,GBP,2024-01-07 08:37:47,2024-01-11 08:37:47,52.44,2278.15
T0061,C005,8.08,USD,GBP,2024-01-07 10:38:09,,0.18,6.22
T0062,C004,16.32,EUR,CHF,2024-01-07 11:47:30,,0.34,14.90
T0063,C014,4707.97,USD,GBP,2024-01-07 16:07:22,,83.90,3644.81
T0064,C017,7433.78,GBP,CHF,2024-01-07 16:48:46,,141.47,7942.77
T0065,C009,2675.3,USD,CHF,2024-01-07 17:18:44,,40.31,2263.12
T0066,C005,10.59,GBP,CHF,2024-01-07 17:32:47,,0.26,11.26
T0067,C007,1484.03,USD,EUR,2024-01-07 18:40:54,,30.78,1337.05
T0068,C004,29.09,EUR,PLN,2024-01-08 09:21:01,,3.47,122.84
T0069,C016,3301.6,EUR,PLN,2024-01-08 10:09:04,,394.23,13941.32
T0070,C013,1153.25,USD,EUR,2024-01-08 10:32:31,,23.92,1039.03
T0071,C003,11.41,EUR,CHF,2024-01-08 10:35:04,2024-01-10 15:35:04,0.24,10.42
T0072,C004,26.21,GBP,CHF,2024-01-08 10:51:44,,0.64,27.86
T0073,C013,6257.48,GBP,CHF,2024-01-08 10:52:20,,153.11,6651.90
T0074,C008,342.29,USD,GBP,2024-01-08 11:09:01,,6.10,264.99
T0075,C007,1672.84,USD,EUR,2024-01-08 12:25:08,,34.69,1507.17
T0076,C005,13.76,EUR,CHF,2024-01-08 14:44:09,,0.29,12.56
T0077,C009,2086.99,USD,CHF,2024-01-08 15:36:39,,31.45,1765.45
T0078,C009,2346.22,EUR,CHF,2024-01-08 16:34:16,,38.35,2153.02
T0079,C010,2477.87,USD,CHF,2024-01-08 18:25:19,,48.00,2085.45
T0080,C016,2478.23,GBP,CHF,2024-01-09 08:44:23,,60.64,2634.44
T0081,C013,217.73,EUR,PLN,2024-01-09 08:45:27,,21.27,924.11
T0082,C005,15.26,EUR,USD,2024-01-09 10:08:34,,0.46,16.10
T0083,C001,6.56,EUR,GBP,2024-01-09 10:37:16,,0.16,5.48
T0084,C009,1109.69,USD,GBP,2024-01-09 11:07:46,,15.38,863.49
T0085,C003,21.55,USD,EUR,2024-01-09 13:07:49,,0.55,19.31
T0086,C010,2931.95,EUR,PLN,2024-01-09 13:20:57,,286.44,12444.09
T0087,C009,1548.44,USD,EUR,2024-01-09 17:44:56,,24.98,1402.22
T0088,C012,493.43,GBP,CHF,2024-01-09 18:50:03,,12.07,524.54
T0089,C015,7612.96,USD,CHF,2024-01-10 08:14:18,,114.71,6440.05
T0090,C010,2301.09,EUR,PLN,2024-01-10 09:03:15,,226.15,9825.01
T0091,C017,3060.42,EUR,GBP,2024-01-10 09:48:10,,46.01,2582.89
T0092,C008,2948.02,USD,EUR,2024-01-10 10:28:53,,61.14,2656.05
T0093,C015,2291.59,EUR,USD,2024-01-10 11:02:50,2024-01-12 04:02:50,43.51,2442.87
T0094,C004,29.68,GBP,CHF,2024-01-10 12:46:54,,0.73,31.55
T0095,C005,12.19,EUR,GBP,2024-01-10 13:47:26,,0.29,10.18
T0096,C005,6.63,EUR,USD,2024-01-10 13:57:59,,0.20,6.99
T0097,C004,19.94,EUR,USD,2024-01-10 15:02:37,,0.59,21.04
T0098,C017,796.53,EUR,GBP,2024-01-10 15:28:02,,11.97,672.25
T0099,C018,2234.4,EUR,PLN,2024-01-10 15:57:53,,170.80,9589.06
T0100,C009,2357.87,USD,GBP,2024-01-11 09:00:31,,32.68,1834.75
T0101,C002,11.61,EUR,USD,2024-01-11 10:40:16,,0.22,12.38
T0102,C006,1864.72,GBP,CHF,2024-01-11 12:09:13,,45.63,1982.25
T0103,C009,851.05,USD,GBP,2024-01-11 13:00:11,,11.80,662.23
T0104,C020,3821.47,EUR,CHF,2024-01-11 13:46:55,,62.46,3506.79
T0105,C009,113.44,GBP,CHF,2024-01-11 16:17:52,,2.16,121.21
T0106,C014,852.9,GBP,CHF,2024-01-11 16:29:26,,20.87,906.66
T0107,C003,24.08,EUR,CHF,2024-01-11 18:04:28,,0.51,21.98
T0108,C012,1120.55,GBP,CHF,2024-01-12 08:25:03,,27.42,1191.18
T0109,C007,1840.24,USD,GBP,2024-01-12 08:55:41,,32.79,1424.68
T0110,C009,643.49,EUR,USD,2024-01-12 09:22:15,,12.22,685.97
T0111,C020,2430.72,USD,GBP,2024-01-12 09:36:32,,33.69,1891.44
T0112,C007,2880.58,EUR,CHF,2024-01-12 10:34:49,2024-01-15 15:34:49,60.54,2629.92
T0113,C013,1238.96,EUR,GBP,2024-01-12 11:01:20,,23.95,1040.32
T0114,C016,4593.75,EUR,USD,2024-01-12 12:48:24,,137.07,4847.15
T0115,C020,5562.65,GBP,CHF,2024-01-12 13:27:38,,105.86,5943.52
T0116,C017,4262.35,EUR,CHF,2024-01-12 13:58:18,,69.67,3911.36
T0117,C018,3662.39,EUR,PLN,2024-01-12 14:04:42,,279.95,15717.37
T0118,C004,7.21,GBP,CHF,2024-01-12 14:26:29,,0.18,7.66
T0119,C003,22.37,USD,CHF,2024-01-12 17:19:40,,0.43,18.83
T0120,C010,1373.23,GBP,CHF,2024-01-13 11:04:37,,33.60,1459.79
T0121,C013,7410.24,USD,CHF,2024-01-13 11:09:41,2024-01-18 06:09:41,143.55,6236.67
T0122,C010,2034.72,EUR,PLN,2024-01-13 11:19:42,,199.97,8687.69
T0123,C002,28.23,USD,EUR,2024-01-13 12:04:13,,0.46,25.56
T0124,C012,2484.02,EUR,USD,2024-01-13 12:12:07,,60.64,2634.52
T0125,C001,7.84,EUR,PLN,2024-01-13 13:17:55,,0.94,33.31
T0126,C004,9.47,EUR,USD,2024-01-13 13:51:55,,0.28,9.99
T0127,C006,1693.17,USD,GBP,2024-01-13 16:53:00,,30.17,1310.82
T0128,C003,15.29,GBP,CHF,2024-01-13 17:29:33,,0.37,16.26
T0129,C018,4957.55,USD,EUR,2024-01-13 17:33:18,,79.96,4489.41
T0130,C018,484.18,EUR,USD,2024-01-13 17:36:42,,9.19,516.15
T0131,C001,19.81,USD,CHF,2024-01-14 08:12:33,,0.38,16.68
T0132,C012,2060.63,EUR,USD,2024-01-14 08:25:32,,50.31,2185.47
T0133,C013,1016.44,EUR,USD,2024-01-14 08:29:58,,24.81,1078.03
T0134,C012,2199.51,EUR,GBP,2024-01-14 09:15:27,,42.51,1846.87
T0135,C015,3477.04,GBP,CHF,2024-01-14 09:20:27,,66.17,3715.11
T0136,C003,20.26,EUR,GBP,2024-01-14 09:47:47,,0.48,16.92
T0137,C008,626.94,EUR,GBP,2024-01-14 09:48:40,,12.12,526.42
T0138,C012,2260.33,USD,EUR,2024-01-14 10:15:33,,46.88,2036.47
T0139,C016,5020.71,EUR,GBP,2024-01-14 13:40:57,,118.60,4194.19
T0140,C004,20.83,USD,EUR,2024-01-14 14:47:28,,0.53,18.67
T0141,C010,2494.87,USD,GBP,2024-01-14 15:30:15,,44.46,1931.48
T0142,C018,4539.14,EUR,PLN,2024-01-14 15:56:14,,346.97,19479.99
T0143,C018,7569.96,USD,EUR,2024-01-14 16:21:22,,122.10,6855.13
T0144,C015,5303.11,USD,GBP,2024-01-14 16:42:45,,73.50,4126.56
T0145,C016,2774.2,USD,CHF,2024-01-14 17:17:20,,53.74,2334.85
T0146,C019,3388.62,USD,GBP,2024-01-15 09:29:44,,60.39,2623.40
T0147,C004,7.07,USD,GBP,2024-01-15 11:09:06,,0.15,5.45
T0148,C004,11.87,EUR,PLN,2024-01-15 12:49:23,,1.43,50.42
T0149,C019,5473.35,USD,CHF,2024-01-15 12:49:24,,106.03,4606.52
T0150,C013,3467.75,GBP,CHF,2024-01-15 13:10:23,,84.85,3686.33
T0151,C011,2087.71,EUR,PLN,2024-01-15 13:21:48,,205.18,8913.94
T0152,C011,1352.02,GBP,CHF,2024-01-15 13:55:12,,33.08,1437.24
T0153,C002,13.35,EUR,CHF,2024-01-15 14:30:29,,0.22,12.25
T0154,C016,6236.34,EUR,GBP,2024-01-15 14:56:40,,147.32,5209.70
T0155,C017,6371.13,GBP,CHF,2024-01-15 15:19:55,,121.25,6807.35
T0156,C005,8.24,USD,CHF,2024-01-15 17:00:57,2024-01-17 02:00:57,0.16,6.93
T0157,C015,3571.45,EUR,USD,2024-01-15 17:41:12,,68.37,3831.65
T0158,C003,29.86,USD,GBP,2024-01-15 18:27:31,,0.65,23.00
T0159,C018,5292.32,EUR,PLN,2024-01-16 11:17:27,2024-01-18 13:17:27,404.54,22712.31
T0160,C010,369.36,USD,CHF,2024-01-16 15:21:11,,7.16,310.86
T0161,C004,26.02,EUR,GBP,2024-01-16 15:49:23,,0.61,21.74
T0162,C005,26.22,GBP,CHF,2024-01-17 08:53:07,,0.64,27.87
T0163,C004,26.35,USD,CHF,2024-01-17 11:39:02,,0.51,22.18
T0164,C018,3859.62,EUR,PLN,2024-01-17 12:08:59,,295.03,16563.79
T0165,C006,717.4,USD,CHF,2024-01-17 14:58:35,,13.90,603.78
T0166,C005,14.9,USD,EUR,2024-01-17 16:06:20,,0.38,13.27
T0167,C013,1043.49,USD,GBP,2024-01-17 16:31:28,,18.59,807.85
T0168,C005,11.73,USD,EUR,2024-01-17 16:58:17,,0.30,10.44
T0169,C006,2773.61,EUR,GBP,2024-01-17 18:07:33,,53.61,2328.92
T0170,C013,1697.15,USD,EUR,2024-01-17 18:10:01,,34.97,1519.28
T0171,C010,1256.15,USD,CHF,2024-01-17 18:19:02,,24.33,1057.22
T0172,C006,1558.34,USD,CHF,2024-01-17 18:28:58,,30.19,1311.54
T0173,C003,18.72,USD,GBP,2024-01-17 18:40:39,,0.41,14.42
T0174,C015,7445.86,GBP,CHF,2024-01-18 08:07:04,,141.70,7955.67
T0175,C006,588.68,USD,GBP,2024-01-18 08:35:26,,10.49,455.74
T0176,C002,8.22,USD,CHF,2024-01-18 09:59:24,,0.12,6.96
T0177,C013,7172.29,USD,GBP,2024-01-18 10:12:26,,127.81,5552.64
T0178,C004,20.19,EUR,PLN,2024-01-18 10:24:29,,2.43,85.76
T0179,C016,6187.82,EUR,PLN,2024-01-18 10:46:59,,743.28,26285.12
T0180,C003,20.54,EUR,CHF,2024-01-18 11:10:29,,0.43,18.75
T0181,C005,19.5,GBP,CHF,2024-01-18 11:32:35,,0.48,20.73
T0182,C008,2957.06,EUR,USD,2024-01-18 11:45:41,,72.65,3156.46
T0183,C007,1062,EUR,PLN,2024-01-18 15:08:27,,104.37,4534.45
T0184,C007,682.93,EUR,CHF,2024-01-18 17:33:27,,14.35,623.51
T0185,C012,2458.89,GBP,CHF,2024-01-19 08:38:09,,60.17,2613.87
T0186,C002,24.9,EUR,PLN,2024-01-19 09:05:46,,1.90,106.86
T0187,C008,1431.57,USD,CHF,2024-01-19 10:14:29,,27.73,1204.85
T0188,C018,7067.35,GBP,CHF,2024-01-19 10:56:26,,134.50,7551.24
T0189,C010,340.25,USD,EUR,2024-01-19 11:45:04,,7.01,304.59
T0190,C004,27.97,USD,GBP,2024-01-19 11:51:27,,0.61,21.54
T0191,C018,2643.16,EUR,PLN,2024-01-19 11:52:55,,202.04,11343.28
T0192,C008,134.07,USD,CHF,2024-01-19 12:51:55,,2.60,112.83
T0193,C008,1647.85,GBP,CHF,2024-01-19 13:36:18,2024-01-24 00:36:18,40.32,1751.72
T0194,C004,8.83,EUR,GBP,2024-01-19 14:02:01,,0.21,7.37
T0195,C019,4579.83,GBP,CHF,2024-01-19 14:45:40,,112.06,4868.51
T0196,C018,7225.59,EUR,USD,2024-01-19 16:35:21,,138.08,7752.26
T0197,C011,1934.06,EUR,GBP,2024-01-19 18:09:58,,37.38,1623.98
T0198,C016,7376.44,EUR,USD,2024-01-20 09:15:40,,221.51,7833.56
T0199,C013,4149.76,EUR,CHF,2024-01-20 09:19:35,,87.21,3788.67
T0200,C010,1206.37,EUR,USD,2024-01-20 09:48:13,,29.64,1287.72
T0201,C007,2582.82,EUR,USD,2024-01-20 10:15:08,,63.46,2756.98
T0202,C008,2453.67,USD,CHF,2024-01-20 12:48:47,,47.53,2065.08
T0203,C018,2566.5,GBP,CHF,2024-01-20 17:50:39,,48.84,2742.23
T0204,C007,2960.39,GBP,CHF,2024-01-20 18:01:31,,72.44,3146.98
T0205,C020,3004.39,EUR,USD,2024-01-20 18:53:44,2024-01-21 18:53:44,57.41,3223.38
T0206,C010,2758.49,EUR,GBP,2024-01-21 09:39:38,,53.63,2329.71
T0207,C009,506.23,USD,CHF,2024-01-21 11:17:28,,9.81,426.05
T0208,C013,471.72,USD,EUR,2024-01-21 12:15:07,,9.72,422.28
T0209,C009,589.83,EUR,CHF,2024-01-21 12:39:34,,12.40,538.50
T0210,C016,6401.48,USD,CHF,2024-01-21 12:50:17,2024-01-23 10:50:17,124.01,5387.66
T0211,C019,3848.63,GBP,CHF,2024-01-21 15:05:30,,94.17,4091.22
T0212,C010,164.3,EUR,CHF,2024-01-21 15:06:55,,3.45,150.01
T0213,C011,2505.7,EUR,PLN,2024-01-21 15:25:56,,246.26,10698.64
T0214,C008,190.4,USD,CHF,2024-01-21 15:28:50,,3.69,160.24
T0215,C008,1684.34,EUR,GBP,2024-01-21 15:58:44,,32.74,1422.53
T0216,C009,2911.31,USD,EUR,2024-01-21 16:25:43,,59.99,2606.19
T0217,C018,7734.48,EUR,USD,2024-01-21 16:36:15,,147.81,8298.24
T0218,C007,2230.58,EUR,PLN,2024-01-22 09:22:49,,219.22,9523.95
T0219,C011,1829.12,USD,EUR,2024-01-22 09:54:10,,37.69,1637.42
T0220,C012,1819.69,EUR,GBP,2024-01-22 11:30:01,,35.37,1536.84
T0221,C015,7917.11,USD,CHF,2024-01-22 11:32:30,,119.29,6697.34
T0222,C015,6754.2,EUR,GBP,2024-01-22 11:59:16,,102.12,5733.51
T0223,C018,786.55,EUR,PLN,2024-01-22 13:53:49,,60.12,3375.53
T0224,C017,6680.52,EUR,USD,2024-01-22 13:56:49,,127.66,7167.47
T0225,C016,5968.18,USD,GBP,2024-01-22 14:52:48,2024-01-25 01:52:48,129.99,4596.81
T0226,C010,643.09,EUR,USD,2024-01-22 16:19:59,,15.80,686.45
T0227,C001,18.93,EUR,GBP,2024-01-22 16:48:17,,0.45,15.91
T0228,C003,17.95,GBP,CHF,2024-01-22 17:36:33,,0.44,19.08
T0229,C013,588.17,GBP,CHF,2024-01-22 18:09:31,,14.39,625.24
T0230,C015,4195.34,USD,EUR,2024-01-22 18:16:37,,67.24,3774.85
T0231,C010,2813.58,GBP,CHF,2024-01-22 18:23:28,,68.84,2990.93
T0232,C007,817.11,USD,GBP,2024-01-22 18:43:53,,14.56,632.59
T0233,C011,589.96,EUR,CHF,2024-01-22 18:58:33,,12.40,538.62
T0234,C011,1622.33,USD,EUR,2024-01-23 09:35:34,,33.43,1452.30
T0235,C004,8.3,USD,CHF,2024-01-23 15:04:57,,0.16,6.99
T0236,C010,1354.6,USD,CHF,2024-01-23 15:07:01,,26.24,1140.07
T0237,C006,2822.5,USD,CHF,2024-01-23 15:23:59,,54.68,2375.49
T0238,C010,2246.61,GBP,CHF,2024-01-23 15:33:26,,54.97,2388.22
T0239,C006,807.01,USD,CHF,2024-01-23 15:40:11,,15.63,679.21
T0240,C010,338.63,EUR,USD,2024-01-23 16:08:17,2024-01-26 15:08:17,8.32,361.46
T0241,C011,769.13,GBP,CHF,2024-01-24 10:53:29,,18.82,817.61
T0242,C004,10.71,EUR,USD,2024-01-24 12:15:14,,0.32,11.38
T0243,C011,2241.15,EUR,GBP,2024-01-24 12:32:19,,43.57,1892.78
T0244,C002,6.05,GBP,CHF,2024-01-24 13:38:16,,0.24,6.34
T0245,C001,21.86,EUR,CHF,2024-01-24 13:50:59,,0.46,19.96
T0246,C016,5110.81,USD,GBP,2024-01-24 13:51:07,,111.31,3936.45
T0247,C020,4019.95,EUR,CHF,2024-01-24 15:02:26,,65.71,3688.92
T0248,C012,1338.72,USD,EUR,2024-01-24 18:52:09,,27.59,1198.41
T0249,C016,5958.98,USD,CHF,2024-01-25 08:13:17,,115.44,5015.24
T0250,C012,2875.89,USD,CHF,2024-01-25 09:36:08,,55.71,2420.43
T0251,C020,6267.94,EUR,GBP,2024-01-25 10:19:06,,94.77,5320.73
T0252,C011,2547.45,EUR,PLN,2024-01-25 10:31:32,,250.36,10876.90
T0253,C016,3894.35,USD,GBP,2024-01-25 11:38:51,,84.82,2999.51
T0254,C017,7742.13,USD,EUR,2024-01-25 15:39:52,,124.08,6966.16
T0255,C014,6236.55,GBP,CHF,2024-01-25 17:44:01,,152.60,6629.65
T0256,C016,4907.11,USD,CHF,2024-01-25 17:48:37,,95.06,4129.96
T0257,C008,262.68,EUR,GBP,2024-01-25 18:02:48,,5.11,221.85
T0258,C008,310.92,EUR,USD,2024-01-25 18:52:17,,7.64,331.88
T0259,C003,21.28,USD,CHF,2024-01-26 12:21:39,,0.41,17.91
T0260,C006,736.28,EUR,CHF,2024-01-26 13:32:14,,15.47,672.22
T0261,C012,2913.18,EUR,GBP,2024-01-26 14:00:16,,56.63,2460.36
T0262,C005,27.69,EUR,PLN,2024-01-26 15:01:23,,3.33,117.62
T0263,C016,2196.59,EUR,PLN,2024-01-26 15:51:26,,263.85,9330.86
T0264,C009,2965.74,EUR,USD,2024-01-26 15:57:18,,72.87,3165.72
T0265,C012,552.01,USD,CHF,2024-01-26 16:08:39,,10.69,464.59
T0266,C007,1789.51,GBP,CHF,2024-01-26 17:38:41,,43.79,1902.30
T0267,C010,1920.34,EUR,GBP,2024-01-26 17:50:02,,37.33,1621.84
T0268,C011,445.56,EUR,USD,2024-01-26 18:41:21,,10.95,475.60
T0269,C016,976.8,EUR,GBP,2024-01-27 09:25:31,,23.21,820.75
T0270,C014,5856.21,USD,GBP,2024-01-27 09:30:01,,104.36,4533.76
T0271,C014,1651.21,EUR,CHF,2024-01-27 11:51:38,,34.70,1507.53
T0272,C018,1752.87,EUR,USD,2024-01-27 13:37:35,,33.50,1880.63
T0273,C017,2528.23,EUR,CHF,2024-01-27 14:05:58,,41.32,2320.05
T0274,C008,1293.25,EUR,PLN,2024-01-27 15:22:19,,127.10,5521.82
T0275,C010,291.99,GBP,CHF,2024-01-27 16:30:16,,7.14,310.40
T0276,C016,4641.51,USD,GBP,2024-01-28 08:05:40,,101.09,3574.99
T0277,C017,6859.05,USD,GBP,2024-01-28 09:16:12,,95.07,5337.30
T0278,C016,6032.86,EUR,PLN,2024-01-28 09:22:54,,724.67,25626.86
T0279,C018,2973.19,EUR,USD,2024-01-28 09:27:08,,56.82,3189.90
T0280,C004,23.23,EUR,CHF,2024-01-28 09:28:11,,0.49,21.21
T0281,C015,5970.57,EUR,PLN,2024-01-28 09:28:51,,456.39,25623.06
T0282,C002,24.03,EUR,PLN,2024-01-28 09:29:08,,1.84,103.12
T0283,C017,4816.94,USD,EUR,2024-01-28 09:55:54,,77.20,4334.15
T0284,C002,7.78,EUR,GBP,2024-01-28 10:04:38,,0.12,6.60
T0285,C010,2639.34,USD,CHF,2024-01-28 10:28:34,,51.13,2221.34
T0286,C005,12.25,EUR,PLN,2024-01-28 10:51:51,,1.47,52.04
T0287,C009,2633.4,USD,CHF,2024-01-28 12:12:24,,51.02,2216.34
T0288,C003,14.07,GBP,CHF,2024-01-28 12:47:21,,0.34,14.96
T0289,C003,14.74,EUR,USD,2024-01-28 13:04:32,,0.44,15.66
T0290,C015,4051.78,EUR,PLN,2024-01-28 13:06:43,,309.72,17388.46
T0291,C001,13.68,USD,CHF,2024-01-28 13:11:31,,0.27,11.51
T0292,C002,9.2,USD,CHF,2024-01-28 13:35:59,,0.14,7.78
T0293,C013,5159.51,EUR,PLN,2024-01-28 14:02:20,,507.08,22029.66
T0294,C001,20.84,GBP,CHF,2024-01-28 15:02:40,,0.51,22.15
T0295,C014,2927.93,EUR,CHF,2024-01-28 15:11:03,,61.53,2673.16
T0296,C006,2761.61,EUR,GBP,2024-01-28 18:19:53,,53.69,2332.34
T0297,C019,4811.24,USD,EUR,2024-01-28 18:20:09,,99.14,4306.99
T0298,C005,21.27,EUR,PLN,2024-01-28 18:46:43,,2.56,90.35
T0299,C014,7760.86,USD,EUR,2024-01-28 18:48:27,,159.92,6947.48
T0300,C003,20.56,USD,EUR,2024-01-28 18:54:34,,0.52,18.31
